Campaign Name,Product,Objective,MKT Campaign,Spend,Leads,Messages,CPL
"10/03_CI_Seri 39tr_tuyển 3 bạn_ENG_Leads","Civilis","Leads","Du học 39tr TVC",27504422,232,0,118553.54310344828
"06/04_CI_Truyền thông ctrinh ip17prm_ENG","Civilis","Engagement","Du học 39tr TVC",500336,0,0,0
"10/03_CI_Seri 39tr meme_ENG_Leads","Civilis","Leads","Du học 39tr TVC",13576628,53,0,256162.79245283018
"19/03_DH_39tr ngày 31/03_ENG_Leads","Du học","Leads","Du học 39tr TVC",19741544,103,0,191665.47572815535
"04/03_DH_Series 39tr_Leads","Du học","Leads","Du học 39tr TVC",20117079,139,0,144727.1870503597
"06/04_DH_Vid ngắn 39tr_ENG_leads","Du học","Leads","Du học 39tr TVC",15638204,68,0,229973.58823529413
"13/03_CI_A Đạt + Phương_3 bạn 100tr_ENG_Leads","Civilis","Leads","Du học 39tr TVC",4725350,11,0,429577.2727272727
"04/03_DH_Series 39tr_meme_ENG_leads","Du học","Leads","Du học 39tr TVC",4443900,17,0,261405.88235294117
"27/03_CI_Serie 39tr_meme_ENG_Leads","Civilis","Leads","Du học 39tr TVC",3939523,14,0,281394.5
"27/03_DH_Seri 39tr_Leads","Du học","Leads","Du học 39tr TVC",20499256,140,0,146423.25714285715
"23/03_DH_Seri 39tr_ENG_Leads","Du học","Leads","Du học 39tr TVC",9170886,47,0,195125.2340425532
"02/03_CI_Vid 39tr_Leads","Civilis","Leads","Du học 39tr TVC",2862846,2,41,1431423
"06/04_CI_Seri ip 17prm_ENG_Leads","Civilis","Leads","Du học 39tr TVC",12693822,42,0,302233.85714285716
"13/03_DH_Seri 39tr_Tuyển 3 bạn_Vid ngắn_ENG_Leads","Du học","Leads","Du học 39tr TVC",4126780,16,0,257923.75
"11/03_THvDH_Seri 39tr_Tuyển 3 bạn_ENG_Leads","Du học","Leads","Du học 39tr TVC",13614995,87,0,156494.19540229885
"11/03_CI_Seri 39tr_tuyển 3 bạn_ENG_leads","Civilis","Leads","Du học 39tr TVC",14210086,139,0,102230.8345323741
"12/03_CI_A Đạt + Phương_3 bạn 100tr_ENG_Leads","Civilis","Leads","Du học 39tr TVC",285437,2,0,142718.5
"13/03_CI_Seri 39tr_tuyển 3 bạn_ENG_leads","Civilis","Leads","Du học 39tr TVC",15403073,85,0,181212.62352941177
"10/03_CI_Test Vid PV 39tr_ENG_Leads","Civilis","Leads","Du học 39tr TVC",4909062,33,0,148759.45454545456
